"17083","02","05","14","22","34","03","09"
"17082","05","13","20","21","25","08","09"
"17081","02","12","15","20","34","01","06"
"17080","08","10","21","30","31","02","05"
"17079","01","17","19","32","33","02","11"
"17078","04","05","27","31","34","03","06"
"17077","01","03","04","25","31","06","09"
"17076","02","07","25","30","35","07","12"
"17075","05","11","16","18","35","01","06"
"17074","08","10","11","13","17","08","11"
"17073","07","18","28","31","33","01","02"
"17072","01","03","29","32","34","02","05"
"17071","01","04","11","14","33","05","07"
"17070","06","16","18","26","30","02","03"
"17069","10","16","20","23","32","08","11"
"17068","07","08","19","24","27","06","07"
"17067","10","17","18","32","35","10","11"
"17066","11","15","23","26","30","02","11"
"17065","05","11","12","19","28","05","12"
"17064","01","08","20","27","30","03","04"
"17063","18","21","22","24","29","05","11"
"17062","01","04","06","08","28","08","12"
"17061","10","19","23","25","30","02","04"
"17060","09","15","20","26","31","05","12"
"17059","08","11","13","15","17","03","10"
"17058","14","18","20","21","28","03","06"
"17057","12","16","19","23","24","02","05"
"17056","01","04","24","27","32","03","10"
"17055","19","20","22","30","33","03","09"
"17054","16","29","30","32","33","04","05"
"17053","06","19","20","22","26","01","11"
"17052","03","19","24","28","33","04","12"
"17051","14","17","18","22","29","10","11"
"17050","12","14","17","20","28","02","06"
"17049","09","12","14","22","31","05","08"
"17048","07","09","13","15","19","03","10"
"17047","15","19","32","33","34","09","12"
"17046","04","17","20","23","30","02","03"
"17045","01","08","11","21","35","09","12"
"17044","11","16","17","18","25","02","09"
"17043","06","13","22","25","35","09","12"
"17042","02","17","31","33","34","01","07"
"17041","02","04","06","25","31","05","09"
"17040","04","06","10","23","29","09","11"
"17039","05","06","14","17","26","03","08"
"17038","04","05","13","18","27","03","09"
"17037","13","15","16","32","34","06","11"
"17036","01","04","09","18","33","02","05"
"17035","14","17","22","30","33","07","12"
"17034","06","12","21","26","29","02","11"
"17033","15","22","23","25","34","05","11"
"17032","02","13","14","18","29","03","09"
"17031","02","16","17","30","32","02","09"
"17030","21","22","24","29","34","05","06"
"17029","01","06","14","17","29","01","11"
"17028","06","18","22","23","33","09","11"
"17027","08","17","25","33","34","03","11"
"17026","10","14","19","25","32","02","07"
"17025","10","16","19","20","34","04","05"
"17024","21","23","29","32","35","11","12"
"17023","05","08","12","24","34","07","10"
"17022","02","03","09","17","24","06","12"
"17021","01","15","17","20","26","06","08"
"17020","16","21","24","27","28","04","07"
"17019","02","06","14","23","25","02","10"
"17018","06","07","10","17","23","01","09"
"17017","04","19","24","26","29","04","06"
"17016","03","13","28","30","33","09","10"
"17015","01","07","19","27","34","01","02"
"17014","04","08","15","24","25","02","05"
"17013","05","12","17","30","34","11","12"
"17012","04","05","24","26","35","07","12"
"17011","05","15","21","29","34","06","09"
"17010","04","10","13","18","35","01","02"
"17009","05","06","08","12","22","03","04"
"17008","03","04","09","25","32","02","04"
"17007","08","11","17","25","27","02","04"
"17006","04","06","23","32","33","05","06"
"17005","05","09","20","26","35","02","11"
"17004","05","08","11","28","31","06","07"
"17003","03","05","06","13","22","09","12"
"17002","07","12","14","31","34","09","11"
"17001","07","09","20","31","33","08","10"
"16154","06","16","17","21","29","04","06"
"16153","13","18","25","29","35","03","11"
"16152","08","17","22","24","30","05","11"
"16151","04","07","11","14","21","05","12"
"16150","01","10","18","24","29","07","10"
"16149","01","02","03","12","33","04","09"
"16148","05","14","15","23","25","06","08"
"16147","07","19","20","28","30","04","12"
"16146","21","22","25","29","34","01","11"
"16145","01","09","11","17","28","03","08"
"16144","04","05","13","22","31","05","10"
"16143","04","06","22","27","31","06","07"
"16142","01","06","17","23","26","06","12"
"16141","02","06","07","19","28","11","12"
"16140","12","16","23","29","34","04","11"
"16139","13","21","30","31","35","01","08"
"16138","12","13","16","29","35","05","11"
"16137","07","20","23","29","34","02","10"
"16136","05","06","07","19","23","04","11"
"16135","01","10","12","18","35","01","12"
"16134","01","03","31","32","34","02","07"
"16133","01","04","05","23","28","05","09"
"16132","04","18","19","22","35","01","02"
"16131","06","13","25","28","30","02","07"
"16130","11","23","32","33","34","01","12"
"16129","07","08","19","30","35","08","09"
"16128","17","20","22","30","33","07","08"
"16127","01","05","15","24","26","09","10"
"16126","11","13","16","19","24","06","08"
"16125","06","07","08","28","30","01","02"
"16124","04","13","24","26","29","08","11"
"16123","04","05","13","20","32","01","10"
"16122","01","03","12","14","29","02","06"
"16121","04","05","08","15","20","01","06"
"16120","03","10","20","32","34","04","07"
"16119","02","03","09","21","22","05","10"
"16118","12","15","18","24","29","03","11"
"16117","03","09","14","16","23","02","09"
"16116","04","06","08","19","34","10","12"
"16115","01","04","15","31","34","02","11"
"16114","16","17","20","32","33","03","07"
"16113","10","11","17","30","34","03","12"
"16112","07","22","23","31","32","04","05"
"16111","04","09","22","26","27","02","12"
"16110","07","20","21","23","30","07","10"
"16109","03","25","28","31","34","11","12"
"16108","10","17","22","23","25","07","09"
"16107","02","06","19","24","26","04","06"
"16106","03","21","30","33","35","01","04"
"16105","08","11","31","34","35","01","02"
"16104","01","20","22","23","30","06","07"
"16103","05","14","20","23","29","03","11"
"16102","03","05","06","34","35","03","12"
"16101","04","06","28","33","35","07","12"
"16100","08","12","19","26","30","02","12"
"16099","03","04","12","14","27","01","05"
"16098","08","09","11","20","29","04","05"
"16097","06","08","18","31","33","10","12"
"16096","01","06","08","12","21","05","10"
"16095","08","12","18","19","21","03","06"
"16094","01","14","16","17","18","05","07"
"16093","01","08","14","30","35","06","07"
"16092","02","13","31","33","34","07","11"
"16091","08","13","17","21","22","02","08"
"16090","04","06","08","28","32","07","12"
"16089","07","14","17","28","34","07","10"
"16088","04","06","17","21","30","06","11"
"16087","03","16","17","23","25","07","09"
"16086","03","05","22","25","30","07","09"
"16085","14","15","27","31","32","01","07"
"16084","08","12","15","26","35","01","08"
"16083","01","05","09","33","35","01","05"
"16082","03","08","23","28","29","02","07"
"16081","06","07","18","21","33","03","08"
"16080","15","20","29","30","33","07","12"
"16079","07","14","15","20","27","05","10"
"16078","07","18","29","31","35","05","11"
"16077","09","11","14","16","35","02","05"
"16076","03","08","10","17","31","05","06"
"16075","03","07","17","22","31","08","12"
"16074","01","05","07","11","14","03","08"
"16073","07","14","17","24","27","08","10"
"16072","16","20","24","26","31","04","09"
"16071","08","15","19","20","33","07","12"
"16070","02","09","13","19","23","05","07"
"16069","14","17","19","23","30","02","09"
"16068","05","07","22","26","34","07","12"
"16067","02","08","11","13","19","02","08"
"16066","10","28","29","31","33","05","11"
"16065","01","09","18","22","24","11","12"
"16064","01","02","10","18","35","05","11"
"16063","08","12","22","27","35","05","09"
"16062","02","10","14","15","35","01","09"
"16061","09","15","17","21","23","07","12"
"16060","02","06","22","27","34","08","11"
"16059","02","10","27","28","33","05","07"
"16058","02","15","17","23","28","05","09"
"16057","08","17","19","23","30","03","08"
"16056","10","12","14","31","35","04","05"
"16055","06","21","27","30","34","04","09"
"16054","02","05","09","21","30","06","07"
"16053","04","13","15","30","35","03","05"
"16052","08","14","19","20","33","10","11"
"16051","16","21","23","24","32","07","08"
"16050","07","17","21","29","35","04","05"
"16049","03","04","05","27","33","04","09"
"16048","04","12","17","25","27","04","10"
"16047","02","03","23","29","32","05","09"
"16046","03","19","22","32","34","08","12"
"16045","07","11","25","30","33","02","08"
"16044","01","06","10","20","31","05","11"
"16043","01","09","16","33","34","09","12"
"16042","02","06","08","19","24","01","06"
"16041","12","23","24","27","34","03","06"
"16040","20","22","29","30","35","01","06"
"16039","01","08","16","22","28","04","05"
"16038","03","07","09","15","33","05","12"
"16037","03","05","13","24","34","03","05"
"16036","07","15","26","30","31","03","06"
"16035","17","22","24","25","29","09","12"
"16034","14","18","31","32","35","09","10"
"16033","03","14","15","31","35","09","10"
"16032","05","09","14","20","33","05","12"
"16031","03","14","24","27","29","04","11"
"16030","10","19","21","29","33","04","06"
"16029","20","26","27","29","32","05","12"
"16028","13","18","20","23","31","03","06"
